Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard DCS,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,HV group,nominal HV
FPix_BmO_D1_BLD2_PNL1_RNG1,,10B,M-Q-2-32,4088,11,1Bd,1BA,4,PR056,,PB-31,J11,2,,,CI-A 033,PP8,2,SN122498/0049,9,30201210004662,B,0x7d,0x10,-z up right 3,2,-z up right 2,2,13,blue-1,25/26,1,b,1301,bottom,,9,1,2,1d1,
FPix_BmO_D1_BLD1_PNL1_RNG1,,11B,M-Q-1-13,4089,10,1Bd,1BA,2,PR056,,PB-31,J11,2,,,CI-A 033,PP8,1,SN122498/0055,9,30201210004662,B,0x7d,0x10,-z up right 3,1,-z up right 2,2,14,blue-1,1/2,1,t,1301,bottom,,9,1,2,1d1,
FPix_BmO_D1_BLD17_PNL2_RNG2,HC2-Disk1-Outer,1T,M-Q-7-24,4128W,9,1Ta,1TD,7,PR113,,PB-16,J12,3,,,CI-A 036,P88,22,SN133278/0001,15,30201210004615,A,0x7b,0x10,-z down right 3,1,-z down right 2,2,1,orange-2,27/28,7,b,1307,bottom,,10,1,1,1a2,
FPix_BmO_D1_BLD16_PNL2_RNG2,,2T,M-Y-Q-NV,4122W,8,1Ta,1TD,5,PR113,,PB-16,J12,3,,,CI-A 036,P88,21,SN133278/0002,15,30201210004615,A,0x7b,0x10,-z down right 3,2,-z down right 2,2,2,orange-2,3/4,7,t,1307,bottom,,10,1,1,1a2,
FPix_BmO_D1_BLD15_PNL2_RNG2,,3T,M-Q-5-28,4014,7,1Ta,1TD,3,PR113,,PB-16,J12,3,,,CI-A 036,P88,20,SN133278/0003,15,30201210004615,A,0x7b,0x10,-z down right 3,3,-z down right 2,2,3,orange-2,27/28,6,b,1306,bottom,,10,1,1,1a2,
FPix_BmO_D1_BLD14_PNL2_RNG2,,4T,M-Q-A-25,4031W,6,1Ta,1TD,1,PR113,,PB-16,J12,3,,,CI-A 036,P88,19,SN133278/0004,15,30201210004615,A,0x7b,0x10,-z down right 3,4,-z down right 2,2,4,orange-2,3/4,6,t,1306,bottom,,10,1,1,1a2,
FPix_BmO_D1_BLD13_PNL2_RNG2,,5T,M-Q-7-41,4129W,11,1Tb,1TC,7,PR149,,PB-4,J12,3,,,CI-A 027,FP26,19,SN133278/0004,15,30201210004615,B,0x7c,0x10,-z down right 3,4,-z down right 2,2,4,brown-4,7/8,6,t,1306,bottom,,10,1,2,1b2,
FPix_BmO_D1_BLD12_PNL2_RNG2,,6T,M-I-4-44,4011,10,1Tb,1TC,5,PR149,,PB-4,J12,3,,,CI-A 027,FP26,18,SN133278/0005,15,30201210004615,B,0x7c,0x10,-z down right 4,1,-z down right 2,2,5,brown-4,31/32,5,b,1305,bottom,,10,1,2,1b2,
FPix_BmO_D1_BLD11_PNL2_RNG2,,7T,M-Q-A-30,4124W,9,1Tb,1TC,4,PR149,,PB-4,J12,4,,,CI-A 027,FP26,17,SN133278/0006,15,30201210004615,B,0x7c,0x10,-z down right 4,2,-z down right 2,2,6,orange-2,3/4,5,t,1305,bottom,,10,1,2,1b2,
FPix_BmO_D1_BLD10_PNL2_RNG2,,8T,M-Q-1-49,4015,8,1Tb,1TC,3,PR149,,PB-4,J12,3,,,CI-A 027,FP26,17,SN133278/0006,15,30201210004615,B,0x7c,0x10,-z down right 4,2,-z down right 2,2,6,brown-4,7/8,5,t,1305,bottom,,10,1,2,1b2,
FPix_BmO_D1_BLD9_PNL2_RNG2,,9T,M-Q-9-33,4020,7,1Tb,1TC,1,PR149,,PB-4,J12,3,,,CI-A 027,FP26,16,SN133278/0007,15,30201210004615,B,0x7c,0x10,-z down right 4,3,-z down right 2,2,7,brown-4,31/32,4,b,1304,bottom,,10,1,2,1b2,
FPix_BmO_D1_BLD8_PNL2_RNG2,,10T,M-Q-6-22,4012,9,1Tc,1TB,7,PR126,,PB-21,J12,3,,,CI-A 035,P87,11,SN133278/0008,9,30201210004662,A,0x7e,0x10,-z up right 4,3,-z up right 2,2,8,orange-2,3/4,4,t,1304,bottom,,9,1,1,1c2,
FPix_BmO_D1_BLD7_PNL2_RNG2,,11T,M-Q-7-44,4062,8,1Tc,1TB,5,PR126,,PB-21,J12,3,,,CI-A 035,P87,10,SN133278/0009,9,30201210004662,A,0x7e,0x10,-z up right 4,2,-z up right 2,2,9,orange-2,27/28,3,b,1303,bottom,,9,1,1,1c2,
FPix_BmO_D1_BLD6_PNL2_RNG2,,12T,M-O-1-04,4377,7,1Tc,1TB,3,PR126,,PB-21,J12,3,,,CI-A 035,P87,5,SN133278/0010,9,30201210004662,A,0x7e,0x10,-z up right 4,1,-z up right 2,2,10,orange-2,3/4,3,t,1303,bottom,,9,1,1,1c2,
