Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard DCS,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,HV group
FPix_BpI_D3_BLD17_PNL2_RNG2,HC3-Disk3-Outer,1T,M-M-1-32,4264,9,3Ta,3TD,7,PR109,,PB-44,J12,3,,,CI-A 047,P56,22,SN112498/0029,13,30201210004643,A,0x7b,0x12,+z down right 3,1,+z down right 2,4,1,violet-10,43/44,7,b,1286,top,,9,4,1,3a4
FPix_BpI_D3_BLD16_PNL2_RNG2,,2T,M-I-3-42,4322,8,3Ta,3TD,5,PR109,,PB-44,J12,3,,,CI-A 047,P56,21,SN112498/0026,13,30201210004643,A,0x7b,0x12,+z down right 3,2,+z down right 2,4,2,violet-10,19/20,7,t,1286,top,,9,4,1,3a4
FPix_BpI_D3_BLD15_PNL2_RNG2,,3T,M-L-4-34,4304,7,3Ta,3TD,3,PR109,,PB-44,J12,3,,,CI-A 047,P56,20,SN112498/0002,13,30201210004643,A,0x7b,0x12,+z down right 3,3,+z down right 2,4,3,violet-10,43/44,6,b,1285,top,,9,4,1,3a4
FPix_BpI_D3_BLD14_PNL2_RNG2,,4T,M-I-2-34,4301,6,3Ta,3TD,1,PR109,,PB-44,J12,3,,,CI-A 047,P56,19,SN112498/0003,13,30201210004643,A,0x7b,0x12,+z down right 3,4,+z down right 2,4,4,violet-10,19/20,6,t,1285,top,,9,4,1,3a4
FPix_BpI_D3_BLD13_PNL2_RNG2,,5T,M-Q-4-29,4287,11,3Tb,3TC,7,PR112,,PB-8,J12,3,,,CI-A 019,P55,19,SN112498/0003,13,30201210004643,B,0x7c,0x12,+z down right 3,4,+z down right 2,4,4,turquoise-12,23/24,6,t,1285,top,,9,4,2,3b4
FPix_BpI_D3_BLD12_PNL2_RNG2,,6T,M-Q-3-19,4293,10,3Tb,3TC,5,PR112,,PB-8,J12,3,,,CI-A 019,P55,18,SN112498/0037,13,30201210004643,B,0x7c,0x12,+z down right 4,1,+z down right 2,4,5,turquoise-12,47/48,5,b,1284,top,,9,4,2,3b4
FPix_BpI_D3_BLD11_PNL2_RNG2,,7T,M-P-5-09,4324,9,3Tb,3TC,4,PR112,,PB-8,J12,4,,,CI-A 019,P55,17,SN112498/0005,13,30201210004643,B,0x7c,0x12,+z down right 4,2,+z down right 2,4,6,violet-10,19/20,5,t,1284,top,,9,4,2,3b4
FPix_BpI_D3_BLD10_PNL2_RNG2,,8T,M-Q-8-25,4305,8,3Tb,3TC,3,PR112,,PB-8,J12,3,,,CI-A 019,P55,17,SN112498/0005,13,30201210004643,B,0x7c,0x12,+z down right 4,2,+z down right 2,4,6,turquoise-12,23/24,5,t,1284,top,,9,4,2,3b4
FPix_BpI_D3_BLD9_PNL2_RNG2,,9T,M-M-2-09,4321,7,3Tb,3TC,1,PR112,,PB-8,J12,3,,,CI-A 019,P55,16,SN112498/0006,13,30201210004643,B,0x7c,0x12,+z down right 4,3,+z down right 2,4,7,turquoise-12,47/48,4,b,1283,top,,9,4,2,3b4
FPix_BpI_D3_BLD8_PNL2_RNG2,,10T,M-Q-9-16,4300,9,3Tc,3TB,7,PR151,,PB-53,J12,3,,,CI-A 041,P70,11,SN112498/0010,7,30201210004690,A,0x7e,0x12,+z up right 4,3,+z up right 2,4,8,violet-10,19/20,4,t,1283,top,,9,3,1,3c4
