#name                              A/B   FEC       mfec      mfecch    hubid     port      rocid     FEDid     FEDch     roc# 
FPix_BpO_D1_BLD9_PNL2_RNG1_ROC9         B        10      1     2     15      2      9      1292       28     1
FPix_BpO_D1_BLD9_PNL2_RNG1_ROC10         B        10      1     2     15      2      10      1292       28     2
FPix_BpO_D1_BLD9_PNL2_RNG1_ROC11         B        10      1     2     15      2      11      1292       28     3
FPix_BpO_D1_BLD9_PNL2_RNG1_ROC12         B        10      1     2     15      3      12      1292       28     4
FPix_BpO_D1_BLD9_PNL2_RNG1_ROC13         B        10      1     2     15      3      13      1292       28     5
FPix_BpO_D1_BLD9_PNL2_RNG1_ROC14         B        10      1     2     15      3      14      1292       28     6
FPix_BpO_D1_BLD9_PNL2_RNG1_ROC15         B        10      1     2     15      3      15      1292       28     7
FPix_BpO_D1_BLD10_PNL2_RNG1_ROC0         A        10      1     2     14      0      0      1293       3     0
FPix_BpO_D1_BLD10_PNL2_RNG1_ROC1         A        10      1     2     14      0      1      1293       3     1
FPix_BpO_D1_BLD10_PNL2_RNG1_ROC2         A        10      1     2     14      0      2      1293       3     2
FPix_BpO_D1_BLD10_PNL2_RNG1_ROC3         A        10      1     2     14      0      3      1293       3     3
FPix_BpO_D1_BLD10_PNL2_RNG1_ROC4         A        10      1     2     14      1      4      1293       3     4
FPix_BpO_D1_BLD10_PNL2_RNG1_ROC5         A        10      1     2     14      1      5      1293       3     5
FPix_BpO_D1_BLD10_PNL2_RNG1_ROC6         A        10      1     2     14      1      6      1293       3     6
FPix_BpO_D1_BLD10_PNL2_RNG1_ROC7         A        10      1     2     14      1      7      1293       3     7
FPix_BpO_D1_BLD10_PNL2_RNG1_ROC8         B        10      1     2     14      2      8      1293       4     0
FPix_BpO_D1_BLD10_PNL2_RNG1_ROC9         B        10      1     2     14      2      9      1293       4     1
FPix_BpO_D1_BLD10_PNL2_RNG1_ROC10         B        10      1     2     14      2      10      1293       4     2
FPix_BpO_D1_BLD10_PNL2_RNG1_ROC11         B        10      1     2     14      2      11      1293       4     3
