#name                              A/B   FEC       mfec      mfecch    hubid     port      rocid     FEDid     FEDch     roc# 
FPix_BpI_D1_BLD2_PNL2_RNG1_ROC2         A        9      1     2     14      0      2      1280       27     2
FPix_BpI_D1_BLD2_PNL2_RNG1_ROC3         A        9      1     2     14      0      3      1280       27     3
FPix_BpI_D1_BLD2_PNL2_RNG1_ROC4         A        9      1     2     14      1      4      1280       27     4
FPix_BpI_D1_BLD2_PNL2_RNG1_ROC5         A        9      1     2     14      1      5      1280       27     5
FPix_BpI_D1_BLD2_PNL2_RNG1_ROC6         A        9      1     2     14      1      6      1280       27     6
FPix_BpI_D1_BLD2_PNL2_RNG1_ROC7         A        9      1     2     14      1      7      1280       27     7
FPix_BpI_D1_BLD2_PNL2_RNG1_ROC8         B        9      1     2     14      2      8      1280       28     0
FPix_BpI_D1_BLD2_PNL2_RNG1_ROC9         B        9      1     2     14      2      9      1280       28     1
FPix_BpI_D1_BLD2_PNL2_RNG1_ROC10         B        9      1     2     14      2      10      1280       28     2
FPix_BpI_D1_BLD2_PNL2_RNG1_ROC11         B        9      1     2     14      2      11      1280       28     3
FPix_BpI_D1_BLD2_PNL2_RNG1_ROC12         B        9      1     2     14      3      12      1280       28     4
FPix_BpI_D1_BLD2_PNL2_RNG1_ROC13         B        9      1     2     14      3      13      1280       28     5
FPix_BpI_D1_BLD2_PNL2_RNG1_ROC14         B        9      1     2     14      3      14      1280       28     6
FPix_BpI_D1_BLD2_PNL2_RNG1_ROC15         B        9      1     2     14      3      15      1280       28     7
FPix_BpI_D1_BLD1_PNL2_RNG1_ROC0         A        9      1     2     13      0      0      1280       3     0
FPix_BpI_D1_BLD1_PNL2_RNG1_ROC1         A        9      1     2     13      0      1      1280       3     1
FPix_BpI_D1_BLD1_PNL2_RNG1_ROC2         A        9      1     2     13      0      2      1280       3     2
FPix_BpI_D1_BLD1_PNL2_RNG1_ROC3         A        9      1     2     13      0      3      1280       3     3
FPix_BpI_D1_BLD1_PNL2_RNG1_ROC4         A        9      1     2     13      1      4      1280       3     4
FPix_BpI_D1_BLD1_PNL2_RNG1_ROC5         A        9      1     2     13      1      5      1280       3     5
FPix_BpI_D1_BLD1_PNL2_RNG1_ROC6         A        9      1     2     13      1      6      1280       3     6
FPix_BpI_D1_BLD1_PNL2_RNG1_ROC7         A        9      1     2     13      1      7      1280       3     7
FPix_BpI_D1_BLD1_PNL2_RNG1_ROC8         B        9      1     2     13      2      8      1280       4     0
FPix_BpI_D1_BLD1_PNL2_RNG1_ROC9         B        9      1     2     13      2      9      1280       4     1
FPix_BpI_D1_BLD1_PNL2_RNG1_ROC10         B        9      1     2     13      2      10      1280       4     2
